City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
483,Nhulunbuy,AU,72.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
486,Bonavista,CA,77.0,few clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
488,Piacabucu,BR,77.58,clear sky,-10.4056,-36.4344,Piaçabuçu News
489,Lorengau,PG,79.38,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
491,College,US,66.58,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
492,Pemangkat,ID,79.68,broken clouds,1.1667,108.9667,Ramah Kost KITA
493,Tura,IN,74.16,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
494,Ejido,VE,77.09,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
495,Taganak,PH,78.94,broken clouds,6.0833,118.3,Taganak
497,Plainfield,US,80.96,overcast clouds,40.6168,-74.4173,Howard Johnson by Wyndham North Plainfield
498,Nouadhibou,MR,71.58,broken clouds,20.931,-17.0347,El Medina
502,El Alto,PE,76.66,few clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
504,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
508,Arnedo,ES,67.15,scattered clouds,42.2167,-2.1,Hotel Virrey
509,Valleyview,CA,69.84,overcast clouds,55.0667,-117.2859,Paradise Inn & Suites
511,Mitsamiouli,KM,77.88,clear sky,-11.3847,43.2844,Foyer ADM
512,Meulaboh,ID,77.47,light rain,4.1363,96.1285,Kost Pria
513,Beira,MZ,73.49,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
514,Bastia,FR,67.3,clear sky,42.6667,9.3333,Hotel Santa Maria
518,Malpe,IN,81.7,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
519,Port Hawkesbury,CA,79.72,clear sky,45.6169,-61.3485,MacKenzie House Tourist Home B&B
523,Gizo,SB,81.57,broken clouds,-8.103,156.8419,Imagination Island
525,Flin Flon,CA,67.84,broken clouds,54.7682,-101.865,Victoria Inn Flin Flon
529,Powell River,CA,76.05,few clouds,49.8496,-124.5361,Rodmay Hotel
530,Ishigaki,JP,83.43,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
531,Agadir,MA,73.85,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
532,Wajid,SO,77.27,clear sky,3.8093,43.2471,xamdihotelresturant114
534,Bondoukou,CI,82.8,few clouds,8.0333,-2.8,Prestige Hotel
536,Aurora,US,84.18,few clouds,39.7294,-104.8319,Best Western Plus Gateway Inn & Suites
537,Kudahuvadhoo,MV,83.3,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
538,Gambela,ET,74.86,light rain,8.25,34.5833,Solomon Debebe Hotel
539,Boizenburg,DE,65.41,light rain,53.3833,10.7167,Hotel Boizenburger Hof
541,Libertador General San Martin,AR,77.97,clear sky,-23.8064,-64.7876,Posada del Sol
542,Hirara,JP,82.9,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
543,Luganville,VU,75.96,broken clouds,-15.5333,167.1667,The Espiritu Hotel
544,Port Blair,IN,83.08,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
550,Alghero,IT,69.89,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
551,Kimbe,PG,75.54,light rain,-5.5502,150.1429,Kimbe Bay Hotel
553,Tucuma,BR,79.57,scattered clouds,-0.1833,-50.05,
554,Toamasina,MG,69.8,few clouds,-18.1667,49.3833,Hotel H1
555,Mana,GF,80.98,light rain,5.6592,-53.7767,LE SAMANA
558,Luanda,AO,77.0,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
560,Itoman,JP,83.17,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
563,Pedreiras,BR,82.2,few clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
565,San-Pedro,CI,80.01,overcast clouds,4.7485,-6.6363,Hotel Maria
566,Kawalu,ID,74.48,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
567,Kuusamo,FI,66.24,clear sky,65.9667,29.1833,Hotel Kuusanka
